score,name,niche,town,phone,website,verified_flaw,flaws
99,Meng House Oriental,restaurant,Amersham,,,yes,no website at all
99,Raj Gate,restaurant,Amersham,,,yes,no website at all
99,Smoky Boy's,restaurant,Amersham,,,yes,no website at all
99,The Crown,restaurant,Amersham,,,yes,no website at all
99,The Kokum,restaurant,Amersham,,,yes,no website at all
99,Tom Yum,restaurant,Amersham,,,yes,no website at all
99,Village Mangal,restaurant,Amersham,,,yes,no website at all
99,Zini,restaurant,Amersham,,,yes,no website at all
99,Amersham Nails & Brows,salon,Amersham,,,yes,no website at all
99,Barber + Shop,salon,Amersham,,,yes,no website at all
99,Brenan O'Sullivan Hair and Beauty,salon,Amersham,,,yes,no website at all
99,Gatsby and Miller,salon,Amersham,+44 1494 728899,,yes,no website at all
99,Grace Ellen Beauty,salon,Amersham,,,yes,no website at all
99,Hairdressing for Men,salon,Amersham,+44 1494 764999,,yes,no website at all
99,Hob,salon,Amersham,,,yes,no website at all
99,Layla's Tanning,salon,Amersham,,,yes,no website at all
99,Lisa's Beauty Spot,salon,Amersham,,,yes,no website at all
99,Oasis,salon,Amersham,,,yes,no website at all
99,Ottoman Barber and Barista,salon,Amersham,,,yes,no website at all
99,Ozzy's Traditional Barbers,salon,Amersham,+44 1494 724760,,yes,no website at all
99,Paul and Draga's Hair Studio,salon,Amersham,,,yes,no website at all
99,Upper Cut,salon,Amersham,,,yes,no website at all
99,Woodrow High House & Leisure Centre,gym,Amersham,,,yes,no website at all
99,TaxAssist Accountants,accountant,Amersham,,,yes,no website at all
88,Elaichi Tandoori,restaurant,High Wycombe,,https://elaichihighwycombe.com/,verify,site unreachable (down or DNS failure)
88,For Face Sake,salon,High Wycombe,+44 1494 512451,https://forfacesake.com/,verify,site unreachable (down or DNS failure)
88,Hair & Beauty Boutique,salon,High Wycombe,,http://thehbboutique.co.uk/,verify,site unreachable (down or DNS failure)
88,Q2Salon,salon,High Wycombe,,http://www.q2salon.co.uk/,verify,site unreachable (down or DNS failure)
88,Rezen,gym,High Wycombe,+44 1494 257229,https://www.rezen.co.uk/,verify,site unreachable (down or DNS failure)
88,Wycombe Leisure Centre,gym,High Wycombe,,http://www.wycombesportscentre.org,verify,site unreachable (down or DNS failure)
88,Marlow Nail & Beauty,salon,Marlow,,https://www.marlownailandbeauty.co.uk/,verify,site unreachable (down or DNS failure)
88,Tanning Lounge Beauty Clinic,salon,Marlow,,http://www.tanningloungeandbeauty.co.uk/,verify,site unreachable (down or DNS failure)
88,Court Garden Leisure Complex,gym,Marlow,,http://www.courtgardenleisurecomplex.org/,verify,site unreachable (down or DNS failure)
88,Basmati,restaurant,Beaconsfield,,https://www.basmatibeaconsfield.com/,verify,site unreachable (down or DNS failure)
88,China Diner,restaurant,Beaconsfield,,http://www.china-diner.co.uk/,verify,site unreachable (down or DNS failure)
88,Jampee Thai,restaurant,Beaconsfield,,https://www.thaisense.co.uk/,verify,site unreachable (down or DNS failure)
88,Mulberry's,salon,Beaconsfield,,https://www.mulberrys.uk.com/,verify,site unreachable (down or DNS failure)
88,Oxygen Barbers,salon,Beaconsfield,,http://www.oxygenbarbersbeaconsfield.co.uk/,verify,site unreachable (down or DNS failure)
88,Amersham House,restaurant,Amersham,+44 1494 722314,https://www.amershamhouse.co.uk/,verify,site unreachable (down or DNS failure)
88,Gusto,restaurant,Amersham,,https://gustoamersham.co.uk/,verify,site unreachable (down or DNS failure)
88,Ken's Beijing,restaurant,Amersham,+44 1494 725505,https://kensbeijing.co.uk,verify,site unreachable (down or DNS failure)
88,Spice Society,restaurant,Amersham,+44 1494729909,https://spicesocietyamersham.com/,verify,site unreachable (down or DNS failure)
88,Adsum Aesthetics,salon,Amersham,,http://www.adsumaesthetics.co.uk/,verify,site unreachable (down or DNS failure)
88,British Vein Institute,salon,Amersham,,https://www.bvi.uk.com/,verify,site unreachable (down or DNS failure)
88,Number67,salon,Amersham,,http://www.number67.org/,verify,site unreachable (down or DNS failure)
85,Golden Palace,restaurant,High Wycombe,,https://golden-palace.business.site/,verify,site returns HTTP 404
85,Mezza House,restaurant,High Wycombe,+44 1494 445592,https://www.facebook.com/profile.php?id=100063804714255,verify,site returns HTTP 400
85,Turkish Desserts,restaurant,High Wycombe,,https://www.facebook.com/people/Turkish-Desserts-High-Wycombe/61571672070583/,verify,site returns HTTP 400
85,Adils Cutting Edge,salon,High Wycombe,+44 7765 950330,https://www.facebook.com/p/AdilS-And-Wajids-Cutting-Edge-100070060652302,verify,site returns HTTP 400
85,Brooklyn Nails,salon,High Wycombe,+44 1494 458000,https://www.facebook.com/BrooklynNailsHighWycombe,verify,site returns HTTP 400
85,Kings Barbers,salon,High Wycombe,+44 7552 184571,https://www.facebook.com/kings.0202,verify,site returns HTTP 400
85,Moon's Nails,salon,High Wycombe,+44 1494 436700,https://www.facebook.com/MoonsNailsWycombe/,verify,site returns HTTP 400
85,QV Traditional Turkish Barber,salon,High Wycombe,,https://www.facebook.com/p/QV-Traditional-Turkish-Barber-100075742995824,verify,site returns HTTP 400
85,Queen's Hair & Beauty,salon,High Wycombe,,https://www.facebook.com/queens02/,verify,site returns HTTP 400
85,Sands Barbers,salon,High Wycombe,,https://www.facebook.com/p/Sands-Barbers-100057025527058/,verify,site returns HTTP 400
85,Shelley & Millie's,salon,High Wycombe,+44 1494 441900,https://www.facebook.com/Shelleyandmillies/,verify,site returns HTTP 400
85,The Marlow,restaurant,Marlow,,https://individualrestaurants.com/bar-and-grill/marlow/,verify,site returns HTTP 404
85,Forever Young,salon,Marlow,,https://www.foreveryoungclinic.co.uk/,verify,site returns HTTP 404
85,Darmon Deli,restaurant,Amersham,,https://www.facebook.com/darmondeli/,verify,site returns HTTP 400
70,Guinot,salon,Beaconsfield,,http://www.guinotbeaconsfield.guinot.com/,yes,no HTTPS; not mobile-responsive (no viewport); missing/empty title tag; missing meta description; no clear call-to-action; no Google Business linkage
70,Whiteoak,accountant,Beaconsfield,,http://www.whiteoakfinance.com/,yes,no HTTPS; not mobile-responsive (no viewport); missing/empty title tag; missing meta description; no clear call-to-action; no Google Business linkage
60,MBA Skin,salon,Beaconsfield,,http://www.mbaclinics.com/,yes,no HTTPS; not mobile-responsive (no viewport); missing meta description; no clear call-to-action; no Google Business linkage
50,Chutney,restaurant,High Wycombe,,https://chutneywycombe.co.uk/,yes,not mobile-responsive (no viewport); missing/empty title tag; missing meta description; no clear call-to-action; no Google Business linkage
50,Love Nails,salon,High Wycombe,+44 7476 182888,http://lovenailseden.co.uk/,yes,no HTTPS; missing meta description; no clear call-to-action; no Google Business linkage
50,Anytime Fitness,gym,High Wycombe,+44 1494 372068,https://www.anytimefitness.co.uk/gyms/uk-0004/high-wycombe-south-east-hp11-2dq/,yes,not mobile-responsive (no viewport); missing/empty title tag; missing meta description; no clear call-to-action; no Google Business linkage
50,Bucks New University Gym,gym,High Wycombe,,https://bucks.ac.uk/life-at-bucks/facilities/gateway-gym,yes,not mobile-responsive (no viewport); missing/empty title tag; missing meta description; no clear call-to-action; no Google Business linkage
50,Abstract Hair Dressing,salon,Beaconsfield,,https://abstracthairdressing.com/,yes,not mobile-responsive (no viewport); missing/empty title tag; missing meta description; no clear call-to-action; no Google Business linkage
50,The Barber Hall,salon,Beaconsfield,,https://www.thebarberhall.com/,yes,not mobile-responsive (no viewport); missing/empty title tag; missing meta description; no clear call-to-action; no Google Business linkage
50,The Griffin,restaurant,Amersham,,https://griffinamersham.co.uk/,yes,not mobile-responsive (no viewport); missing/empty title tag; missing meta description; no clear call-to-action; no Google Business linkage
40,Historia Meze & Grill,restaurant,High Wycombe,+44 1494 533176,https://historiamezegrill.co.uk/,yes,slow load (5687ms); not mobile-responsive (no viewport); missing meta description; no clear call-to-action
40,Wycombe Badminton Centre,gym,High Wycombe,,https://www.badmintonwycombe.co.uk/,yes,not mobile-responsive (no viewport); missing meta description; no clear call-to-action; no Google Business linkage
40,Tom Bishop,salon,Beaconsfield,,http://tombishophair.co.uk/,yes,no HTTPS; missing meta description; no Google Business linkage
30,Caipirao,restaurant,High Wycombe,+44 1494 441999,https://sitelift.site/caipiraosouthamericansteakhouse/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,DLuna Pao de Queijaria,restaurant,High Wycombe,,https://www.instagram.com/dlunapaodequeijaria/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,La Luna Ceylon,restaurant,High Wycombe,+44 1494 504278,https://www.instagram.com/laluna.ceylon/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,Lata Lata,restaurant,High Wycombe,,https://www.latalata.co.uk/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,The Lounge,restaurant,High Wycombe,,https://www.instagram.com/thelounge.hw/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,The Vanilla Pod,restaurant,High Wycombe,+44 1494 531510,https://www.instagram.com/thevanillapodhw/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,HP11 Barbers,salon,High Wycombe,,https://www.instagram.com/hp11_barbers/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,Quinto and Mario,salon,High Wycombe,+44 1494 533849,https://www.quintoandmario.co.uk/,yes,slow load (4734ms); missing meta description; no Google Business linkage
30,Studio Barbara Luiza,salon,High Wycombe,+44 1494 527289,https://www.instagram.com/studiobarbaraluiza/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,Supercuts,salon,High Wycombe,+44 1494 444770,https://supercuts.co.uk/pages/salon-locator#!/l/high-wycombe/7-eden-walk/3523683,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,Prelibato,restaurant,Beaconsfield,,https://prelibato.co.uk/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,The Old Town Friar,restaurant,Beaconsfield,,https://oldtownfriartakeaway.co.uk/,yes,not mobile-responsive (no viewport); no clear call-to-action; no Google Business linkage
30,The Studio,salon,Beaconsfield,,https://www.beenasbeautyclinic.com/,yes,slow load (4142ms); missing meta description; no Google Business linkage
30,Koyo Japanese Tapasu Bar,restaurant,Amersham,,https://www.koyosushi.co.uk/,yes,missing meta description; no clear call-to-action; no Google Business linkage
30,Shahin's Indian Cuisine,restaurant,Amersham,+44 1494 764038,https://www.shahinsindian.net/,yes,slow load (24145ms); missing meta description; no Google Business linkage
20,Eatnua,restaurant,High Wycombe,+44 1494 268914,https://www.eatnua.com/wycombe/,yes,missing meta description; no Google Business linkage
20,Noodle Nation,restaurant,High Wycombe,+44 1494 447555,https://noodlenation.com/,yes,no clear call-to-action; no Google Business linkage
20,Wok Express,restaurant,High Wycombe,,https://wokexpress-highwycombe.co.uk/,yes,no clear call-to-action; no Google Business linkage
20,Hair Cut Sklep,salon,High Wycombe,+44 7466 999772,https://www.fresha.com/lvp/hair-cut-sklep-kitchener-road-xZbBNn,yes,missing meta description; no Google Business linkage
20,K1 Barbers,salon,High Wycombe,,https://www.edenshopping.co.uk/store/k1-barbers/,yes,missing meta description; no Google Business linkage
20,Luxe Spa Land,salon,High Wycombe,+44 7732 359999,https://myluxland.com/,yes,missing meta description; no Google Business linkage
20,Roccola Hair,salon,High Wycombe,+44 1494 526648,https://www.roccolahair.com/site/,yes,slow load (3334ms); missing meta description
20,Elite Electrical,electrician,High Wycombe,+44 1494 259192,https://www.eliteelectricaluk.com/,yes,missing meta description; no Google Business linkage
20,Powercom Electrical Services,electrician,High Wycombe,,https://www.powercom.co.uk/,yes,not mobile-responsive (no viewport); no Google Business linkage
20,Buzz Gym,gym,High Wycombe,,https://www.buzzgym.co.uk/wycombe/,yes,no clear call-to-action; no Google Business linkage
20,Magnolia Park,gym,High Wycombe,,http://magnoliaparkwycombe.co.uk/,yes,missing meta description; no Google Business linkage
20,Temple End Veterinary Surgery,vet,High Wycombe,+44 1494 522956,https://templeendvets.com/,yes,missing meta description; no Google Business linkage
20,HK Accountax,accountant,High Wycombe,+44 1494 700404,https://www.hkaccountax.com/,yes,missing meta description; no Google Business linkage
20,Scholtke & Co. Ltd.,accountant,High Wycombe,+44 1494 474422,https://scholtke.com/,yes,not mobile-responsive (no viewport); no Google Business linkage
20,Satollo,restaurant,Marlow,,https://www.satollo.co.uk,yes,no clear call-to-action; no Google Business linkage
20,Longridge Activity Centre,gym,Marlow,,https://www.adventurelearning.org.uk/longridge/,yes,missing meta description; no Google Business linkage
20,Marlow Rowing Club,gym,Marlow,,https://www.marlowrowingclub.org.uk/,yes,missing meta description; no Google Business linkage
20,Miller & Carter,restaurant,Beaconsfield,,https://www.millerandcarter.co.uk/restaurants/south-east/millerandcarterbeaconsfield#/,yes,no clear call-to-action; no Google Business linkage
20,Ohana,restaurant,Beaconsfield,,https://ohanarestaurant.co.uk/,yes,slow load (3129ms); missing meta description
20,Prime,restaurant,Beaconsfield,,https://www.primesteakandgrill.com/beaconsfield,yes,slow load (3187ms); missing meta description
20,Sajna,restaurant,Beaconsfield,,https://www.sajna-indian-beaconsfield.co.uk/,yes,missing meta description; no clear call-to-action
20,Cosmetic Smile Studio,salon,Beaconsfield,,https://www.cosmeticsmilestudio.co.uk/,yes,missing meta description; no Google Business linkage
20,Cut UK,salon,Beaconsfield,,http://www.thebarbershopgroup.com/about-us/,yes,no clear call-to-action; no Google Business linkage
15,Adorn Beauty,salon,High Wycombe,+44 1494 535089,https://highwycombe.adorn-beauty.com/,verify,blocked automated audit — verify manually
15,Cutler's,salon,High Wycombe,+44 1494 452888,https://cutlers.edan.io/,verify,blocked automated audit — verify manually
15,Laser Clinics UK,salon,High Wycombe,+44 1494 911520,https://www.laserclinics.co.uk/skin-care-clinics/high-wycombe,verify,blocked automated audit — verify manually
15,High Wycombe Lawn Tennis Club,gym,High Wycombe,,https://hwltc.co.uk/,verify,blocked automated audit — verify manually
15,1269,restaurant,Beaconsfield,,https://www.the1269.com/,verify,blocked automated audit — verify manually
15,Beaconsfield Tennis Club,gym,Beaconsfield,,http://www.beaconsfieldtennis.com/,verify,blocked automated audit — verify manually
15,Astus Financial Planning,accountant,Beaconsfield,,https://www.astusfp.co.uk/,verify,blocked automated audit — verify manually
10,Bombay Palace,restaurant,High Wycombe,+44 1494 444752,https://thebombaypalace.co.uk/,yes,slow load (23260ms)
10,Grounded Kitchen,restaurant,High Wycombe,+44 1494 515263,https://www.groundedkitchen.com/location/high-wycombe,yes,no Google Business linkage
10,Kappad,restaurant,High Wycombe,+44 1494 761652,https://www.kappadrestaurant.com/,yes,no Google Business linkage
10,PizzaExpress,restaurant,High Wycombe,+44 1494 535191,https://www.pizzaexpress.com/high-wycombe-eden-shopping-centre,yes,no Google Business linkage
10,The Works,restaurant,High Wycombe,,https://eatattheworks.co.uk/,yes,no Google Business linkage
10,Treatz,restaurant,High Wycombe,+44 1494 258687,https://www.treatz.co.uk/,yes,no Google Business linkage
10,Wagamama,restaurant,High Wycombe,+44 1494 511302,https://www.wagamama.com/restaurants/high-wycombe/high-wycombe,yes,missing meta description
10,Impressions,salon,High Wycombe,,https://www.impressionshairdesign.co.uk/,yes,no Google Business linkage
10,Nails & Spa,salon,High Wycombe,+44 1494 473093,https://nailsandspahighwycombe.co.uk/,yes,missing meta description
10,Natali,salon,High Wycombe,,https://www.treatwell.co.uk/place/natali-manicure-pedicure-high-wycombe/,yes,no Google Business linkage
10,Rush,salon,High Wycombe,+44 1494 411150,https://www.rush.co.uk/salons/high-wycombe,yes,no Google Business linkage
10,Tucker French,plumber,High Wycombe,+44 1494 526111,https://www.tucker-french.co.uk/,yes,no Google Business linkage
10,E.H. Milner,electrician,High Wycombe,,https://www.milners-electrical.co.uk/,yes,no Google Business linkage
10,Cressex Synthetic Sports Pitch Centre,gym,High Wycombe,,https://www.buckinghamshire.gov.uk/health-wellbeing-and-sports/parks-and-open-spaces/book-a-sports-pitch/cressex-football-centre/,yes,no Google Business linkage
10,High Wycombe Judo Centre,gym,High Wycombe,,https://www.wycombejudocentre.co.uk/,yes,no Google Business linkage
10,The Gym,gym,High Wycombe,,https://www.thegymgroup.com/find-a-gym/high-wycombe-gyms/high-wycombe/,yes,no clear call-to-action
10,Titans Gym,gym,High Wycombe,+44 1494 520338,https://titansgymhighwycombe.co.uk/,yes,no Google Business linkage
10,Wycombe Rye Lido,gym,High Wycombe,,https://www.fusion-lifestyle.com/centres/wycombe-rye-lido/,yes,missing meta description
10,Crossroads Veterinary Centre,vet,High Wycombe,+44 1494 459095,https://www.crossroadsvetcentre.co.uk/,yes,no Google Business linkage
10,Hamilton Specialist Referrals,vet,High Wycombe,+44 149 457 8566,https://www.hamiltonspecialists.vet,yes,no Google Business linkage
10,Dashwoods,accountant,High Wycombe,+44 1494 521687,https://www.dashwoodsaccountants.co.uk/,yes,no Google Business linkage
10,G&S Accountants,accountant,High Wycombe,+44 1494 446567,https://gsaccountants.co.uk/,yes,no Google Business linkage
10,Brvtvs,restaurant,Marlow,,https://www.brvtvs.co.uk/,yes,no clear call-to-action
10,Côte Brasserie,restaurant,Marlow,,https://www.cote.co.uk/restaurant/details/marlow,yes,slow load (3192ms)
10,Giggling Squid,restaurant,Marlow,,https://www.gigglingsquid.com/restaurant/marlow/,yes,no Google Business linkage
10,La Cantina Del Vino,restaurant,Marlow,,https://lacantinadelvinomarlow.com/,yes,no Google Business linkage
10,Maliks,restaurant,Marlow,,https://www.maliks.co.uk/,yes,no Google Business linkage
10,PizzaExpress,restaurant,Marlow,,https://www.pizzaexpress.com/marlow-high-street,yes,no Google Business linkage
10,The Ivy,restaurant,Marlow,,https://theivymarlowgarden.com/,yes,missing meta description
10,The Vanilla Pod,restaurant,Marlow,,https://www.thevanillapod.co.uk/,yes,no Google Business linkage
10,Aveda Brothers,salon,Marlow,,https://brotherssalons.co.uk/brothers-marlow/,yes,no Google Business linkage
10,Springwell Clinic,salon,Marlow,+44 1628 308060,https://springwellclinic.co.uk/,yes,no Google Business linkage
10,The Barber Shop Group,salon,Marlow,+44 1628 488552,http://www.thebarbershopgroup.com/marlow/,yes,no clear call-to-action
10,Bridge Dental Surgery,dentist,Marlow,,https://www.bridge-dental.co.uk/,yes,missing meta description
10,Bisham Abbey National Sports Centre,gym,Marlow,,https://www.bishamabbeynsc.co.uk/,yes,no clear call-to-action
10,Marlow Sports Club,gym,Marlow,,https://marlowsportsclub.org.uk/,yes,no clear call-to-action
10,Bacchus,restaurant,Beaconsfield,,https://bacchusbeaconsfield.co.uk/,yes,no clear call-to-action
10,Giggling Squid,restaurant,Beaconsfield,,https://www.gigglingsquid.com/restaurant/beaconsfield/,yes,no Google Business linkage
10,Leigh House,restaurant,Beaconsfield,,https://leigh-house.co.uk/,yes,missing meta description
10,PizzaExpress,restaurant,Beaconsfield,,https://www.pizzaexpress.com/beaconsfield-london-end,yes,no Google Business linkage
10,Riwaz,restaurant,Beaconsfield,,https://riwazrestaurants.co.uk/,yes,no Google Business linkage
10,The Old Bengal,restaurant,Beaconsfield,,https://www.oldbengal.com/,yes,no Google Business linkage
10,Vapensiero,restaurant,Beaconsfield,,https://www.vapensiero.co.uk/,yes,no Google Business linkage
10,Oxygen,salon,Beaconsfield,,https://www.oxygenhairandbeauty.co.uk/,yes,no Google Business linkage
10,S-Thetics,salon,Beaconsfield,,https://sthetics.co.uk/,yes,no Google Business linkage
10,The House of Klamer,salon,Beaconsfield,,https://houseofklamer.co.uk/,yes,missing meta description
10,Beaconsfield Squash Club,gym,Beaconsfield,,https://beaconsfield.mycourts.co.uk/index.asp,yes,no Google Business linkage
10,Straid Veterinary Clinic,vet,Beaconsfield,,https://www.straidvetclinic.co.uk/,yes,no Google Business linkage
10,Charterhouse,accountant,Beaconsfield,,https://www.charter-house.net/,yes,no Google Business linkage
10,Rouse,accountant,Beaconsfield,,https://www.rousepartners.co.uk/,yes,no Google Business linkage
10,Mughal Palace,restaurant,Amersham,,https://www.mughalpalaceamersham.co.uk/,yes,no Google Business linkage
10,PizzaExpress,restaurant,Amersham,,https://www.pizzaexpress.com/amersham-sycamore-road,yes,no Google Business linkage
10,The Wyvern Restaurant,restaurant,Amersham,,https://wyvernrestaurant.com/,yes,missing meta description
10,Zaza,restaurant,Amersham,,https://zaza.co.uk/,yes,no Google Business linkage
10,Amersham Cricket Club,gym,Amersham,,https://www.amershamcc.co.uk/,yes,no Google Business linkage
10,Amersham and Chiltern Rugby Club,gym,Amersham,+44 1494 725161,https://www.chilternrugby.com/,yes,no clear call-to-action
10,Chesham Bois Tennis & Squash Club,gym,Amersham,,https://cbltsc.com/,yes,no Google Business linkage
0,Merletto Lounge,restaurant,High Wycombe,+44 1494 411764,https://thelounges.co.uk/merletto,yes,
0,Nando's,restaurant,High Wycombe,+44 1494 473249,https://www.nandos.co.uk/restaurants/high-wycombe,yes,
0,Olive Tree,restaurant,High Wycombe,+44 1494 422218,https://olivetreerestaurants.co.uk/,yes,
0,Osaka,restaurant,High Wycombe,,https://osakarestaurants.co.uk/,yes,
0,TGI Fridays,restaurant,High Wycombe,,https://www.tgifridays.co.uk/restaurant/high-wycombe,yes,
0,Zizzi,restaurant,High Wycombe,+44 1494 445387,https://www.zizzi.co.uk/italian/restaurants/high-wycombe,yes,
0,Elwoods,salon,High Wycombe,+44 1494 525050; +44 1494 520752,https://www.elwoods-hair.com/,yes,
0,Kwik Tan,salon,High Wycombe,,https://www.kwiktan.co.uk/salons/high-wycombe/,yes,
0,Princess Nails,salon,High Wycombe,+44 1494 258112,https://princessnailssalon.co.uk/,yes,
0,Bucks Indoor Tennis Centre,gym,High Wycombe,,https://www.bucksitc.co.uk/,yes,
0,Clip 'n Climb,gym,High Wycombe,+44 1494 414522,https://highwycombe.clipnclimb.co.uk/,yes,
0,TeamSport High Wycombe,gym,High Wycombe,,https://www.team-sport.co.uk/go-kart-tracks/high-wycombe,yes,
0,Vets Now,vet,High Wycombe,+44 1494 931644,https://www.vets-now.com/find-an-emergency-vet/high-wycombe/,yes,
0,Accountants in High Wycombe - The Financial Management Centre (TFMC),accountant,High Wycombe,+441494801091,https://www.tfmcentre.co.uk/offices/high-wycombe/services/accountants-high-wycombe/,yes,
0,Total Tax Accountants,accountant,High Wycombe,+44 1494 264826,https://www.totaltaxaccountants.co.uk/,yes,
0,The Coach,restaurant,Marlow,,https://www.thecoachmarlow.co.uk/,yes,
0,Tiger Garden,restaurant,Marlow,,https://www.tigergarden.co.uk/,yes,
0,Vaasu by Atul Kochhar,restaurant,Marlow,+44 20 3667 9990,https://vaasurestaurant.co.uk/,yes,
0,Zizzi,restaurant,Marlow,,https://www.zizzi.co.uk/italian/restaurants/marlow,yes,
0,Haringtons,salon,Marlow,+44 1628 478485,https://www.haringtons.com/contact/marlow/,yes,
0,Rapunzel Hair Extensions,salon,Marlow,,https://www.rapunzelhairextensions.com/,yes,
0,Renaissance,salon,Marlow,+44 1628 471135,https://www.renaissance-marlow.co.uk/,yes,
0,Dental Healthcare,dentist,Marlow,,https://www.dentalhealthcaremarlow.co.uk/,yes,
0,Marlow View Dental,dentist,Marlow,,http://www.marlowviewdental.com/,yes,
0,Cultivate Fitness | Indoor & Outdoor Gym,gym,Marlow,+44 7495 174714,https://cultivate-fitness.com/,yes,
0,Brasserie Blanc,restaurant,Beaconsfield,,https://brasserieblanc.com/restaurants/beaconsfield/,yes,
0,Nando's,restaurant,Beaconsfield,,https://www.nandos.co.uk/restaurants/beaconsfield-services,yes,
0,Spice Merchant,restaurant,Beaconsfield,,https://www.spicemerchantgroup.com/beaconsfield,yes,
0,The Cape,restaurant,Beaconsfield,,https://www.thecapeonline.com/,yes,
0,The Greyhound,restaurant,Beaconsfield,,https://greyhoundbeaconsfield.co.uk/,yes,
0,Haringtons,salon,Beaconsfield,,https://www.haringtons.com/contact/beaconsfield/,yes,
0,Toni & Guy,salon,Beaconsfield,,https://toniandguy.com/salon/beaconsfield,yes,
0,Beaconsfield Dental Practice,dentist,Beaconsfield,,https://www.beaconsfield-dental-practice.co.uk/,yes,
